"","Search","Date","Title","Company","Location","Description","Link","Work Model","Job_Type","Program","R","Python","SQL","Tableau","PowerBI","Azure","Excel","Talend","SAS","Spark","Qualtrics","Domo","Salesforce","SAP","Hadoop","Qlik","Looker","Zoho","Stata","Snowflake","ID"
"1","network security engineer",2022-08-25,"3M HIS Software Development Specialist","3M","Remote in Salt Lake City, UT 84123","** *  Job Description:* * * *   3M HIS Software Development Specialist - REMOTE USA* * * *   Collaborate with Innovative 3Mers Around the World* * *   Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with 96,000 other curious, creative 3Mers.* * * *   “A long-lasting career at 3M comes from having vision, imagination and the ability to see what doesn’t exist. 3Mers are groundbreaking innovators and it’s important that we give every person the space for disruptive and creative thinking.” –John Banovetz, executive vice president, chief technology officer and environmental responsibility at 3M* * * *   This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.* * * *   The Impact You’ll Make in this Role* * *   As a Software Development Specialist*  , you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:* *  Designing and developing solutions for the Business Intelligence & Analytics team*   Leading initiatives to expose data and build dashboards for Health Care customers*   Providing technical and thought leadership to the team*   Creating solutions in an Amazon Web Services (AWS) environment, utilizing EC2, RDS, S3, Lambda, Athena, and QuickSight as part of our modernization strategy*   Developing high performing ETL solutions to push data from on-premise systems to the cloud*   Creating and automating component unit tests, measuring and improving software performance, and taking pride in the quality of component deliverables*   Supporting and extending automated deployment solutions*   Practice and advocate fundamental engineering techniques, discipline, and best practices including requirements development, planning and estimation, configuration management, performance testing, and quality assurance*   Collaborate with other software architects, software engineers, quality engineers, and other team members to design and build solutions that best fit the requirements*   Coordinate and communicate with clinical analysts, product analysts, and product owners to understand business needs, requirements, and manage stakeholder expectations*   Updates job and industry knowledge by studying development tools, programming techniques and participating in educational opportunities such as reading professional publications, maintaining personal networks and professional organizations associations*   Provide operational product support and problem resolution through root cause analysis and other troubleshooting techniques* * *   Your Skills and Expertise*   To set you up for success in this role from day one, 3M requires (at a minimum) the following qualifications:* *  Bachelor’s Degree or higher from (completed and verified prior to start) from an accredited institution* *   OR* *  High School Diploma/GED or higher from a (completed and verified prior to start) and fourteen (14) years of experience in the software development* *  Seven (7) years of experience designing and implementing full stack solutions for commercial enterprise software*   Seven (7) years of hands-on development with some combination of Java, Python, C#, XML, JSON, Angular*   Seven (7) years of experience with database technologies, such as MYSQL*   Two (2) years of experience developing cloud based solutions* * *   Additional qualifications that could help you succeed even further in this role include:* *  Familiarity with BI tools such QuickSight, MicroStrategy, and PowerBI*   Experience in Health Care industry and Health Information Systems*   Strong communication skills – showing engagement, being outspoken, and proactive*   Proficiency with object-oriented design and applying design patterns*   Proficiency with software configuration management concepts (source control, build automation, e.g. GIT, Jenkins, Maven or Ant)*   Proficiency with SQL and relational database design*   Ability to quickly learn and apply new tools and technologies*   Familiarity with RESTful services and API design*   Familiarity with the Agile Scrum development methodology*   Ability to take initiative, understand the code and suggest improvements to design that enhances the overall system performance*   Ability to work in a team environment* * *   Travel: <5%* * *   Relocation Assistance: May be authorized* * *   Location: Remote USA* * * *   Must be legally authorized to work in country of employment without sponsorship for employment visa status (e.g., H1B status).* * * *   Supporting Your Well-being* * *   3M offers many programs to help you live your best life – both physically and financially. To ensure competitive pay and benefits, 3M regularly benchmarks with other companies that are comparable in size and scope.* * * *   Resources for You* * *   For more details on what happens before, during and after the interview process, check out the Insights for Candidates page at 3M.com/careers.* *  Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.*  Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.*  Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.*  Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/*  3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.* * *   Please note: your application may not be considered if you do not provide your education and work history, either by: 1) uploading a resume, or 2) entering the information into the application fields directly.* * * *   3M Global Terms of Use and Privacy Statement* * *   Carefully read these Terms of Use before using this website. Your access to and use of this website and application for a job at 3M are conditioned on your acceptance and compliance with these terms.* **","https://www.indeed.com/rc/clk?jk=253943fc577d5da9&fccid=595d42593839d3a2&vjs=3","Remote","Part-time","MSCM",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"def55243cffd0fd755c5a6fd68fac4a1"
"2","data analyst",2022-08-25,"E-Delivery Business Analyst","A.P. Moller - Maersk","Salt Lake City, UT 84116","Description: As the E-Delivery Business Analyst, you will work with the Product Managers to support the NAM (North America) ECL last-mile solutions. Will be responsible for developing market intelligence and analysis to enhance the current E-Delivery product. Supporting NAM & global solution initiatives as necessary by creating Business Requirements Documents and performing project management tasks.Key responsibilities: *Be Daily Lead in supporting the product growth for E-Delivery as well as specific Maersk Sales verticals* Assist E-Delivery Product Managers in developing products/tools that leads to profitable growth opportunities with commercial stakeholders and drive implementation in line with commercial requirement together with key internal and external stakeholders* Support Head of E-Delivery Product Management with the execution of strategy to drive the profitable growth of E-Delivery Services in NAM* Actively promote NAM E-Delivery services offering across the organization and support, including market mapping/evaluation, competitive environment, target customers, pricing strategy, support/training to Sales*Requirements:*Bachelor’s Degree with a minimum of 1-2 years of experience with market research and data analytics* Exceptional analytical skills, with strong understanding of data across multiple sources to drive fact-based decision making* Strong ability to manage complexity in analytical work, but able to promote simplification and communicate commercial direction* High degree of change readiness and energy to be able to continuously adjust to dynamic changes in our business environment and act as a change agent for our E-Delivery Value Added Services journey* Good stakeholder management and communication skills, able to gain credibility, engage, and motivate others to deliver on required actions and deliver Impact without Authority* Team-oriented and passionate about proactive collaboration with global colleagues across multiple functions and cultures* Excellent verbal, written, and presentation skills in English* Political savvy; mature enough to work with senior leaders; can cope with high pressure* Highly motivated and self-driven* Excellent Microsoft Office skills including Excel, PowerPoint, Outlook, Word*Job Type: Full-time","https://www.indeed.com/company/Maersk/jobs/E-Delivery-Business-Analyst-ee26556ddbba1915?fccid=14e7391c55beeb80&vjs=3","On-site","Full-time","MSBA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"a6fe91bd70a8f35643f9aa019e7ba3d1"
"3","business intelligence analyst",2022-08-25,"Resource Analyst","Airport Terminal Services","Salt Lake City, UT 84122 (Westpointe area)","* *  *   *    SUMMARY: The position owns the demand and labor planning for our Canada airport operations. This includes taking airline flight schedules and developing the staffing needs based on demand and budgetary requirements. Creating, editing, and planning specific employee schedules for our larger Canadian operations, such as Vancouver and Calgary. Creating staffing and labor demand based upon specific customer pro formas using established staffing requirements, such as hours per flight or minimal staffing requirements. The role will involve summarizing and communicating business analytics for labor and how it is tied to the operational and financial effectiveness of the business. In addition, this position will be responsible for contributing to and utilizing standardized dashboards; financial models, performance metrics, and executive-level reporting packages. The position will also analyze, report, and make appropriate recommendations that will positively impact business performance. This position will report directly to the Director of BI Systems.*    *     ESSENTIAL DUTIES AND RESPONSIBILITIES*     Interpret airline flight schedules via Sabre StaffPlanner and Sabre RosterMaker*      Use Sabre products to develop a working labor plan that meets service, safety requirements, and stays in line with budget requirements*      Ensure key labor metrics are met (Cost of Labor %, average hours per flight, non-billable overtime, etc)*      Transition approved labor plan into a working employee schedule, ensuring accuracy to key metrics established*      Prepares and analyze routine labor reports utilizing company systems such as Power BI, Kepion, NOVAtime, and ADP to balance against authorized hours and dollars for Canada operations*      Present and communicate findings and works with the Business Unit Leader, Executive Leadership Team, Customers, or other stakeholders to identify and implement strategies that will address tactical and strategic goals*      Weekly analysis of Actual financials and operations stats compared to Target and Budget: special focus on Labor % of Sales, HPF, Revenue, Net Income, Variables/Fixed expenses, etc*    *     MINIMUM REQUIREMENTS*     Must be at least 18 years of age*      Bachelor’s Degree in computer science, mathematics, operations, management, or a related field/equivalent experience*      Strong computer and math skills required*      Must have analytical background and passion for analysis*      Must pass a drug test and background check*    *     BACKGROUND QUALIFICATIONS*     A minimum of 3 years’ experience and success in Analysis and Reporting*      Experience in and understanding of a wide variety of analytical processes (governance, measurement, etc.)*      Excellent written and verbal communication skills*      Excellent presentation skills*      Experience managing projects and teams*      Proven ability to complete projects and achieve results in an ambiguous work environment*      Proven skills to work effectively across internal functional areas in ambiguous situations*    *     LOCATION/SPECIFIC WORKING HOURS*     Location: Vancouver, British Columbia, remote*      Must be able to work extended hours on short notice*      Some travel may be required*    *     M/F Disabled and Vet EEO/AA Employer*   *  * **","https://www.indeed.com/rc/clk?jk=7f255ef06f7f698b&fccid=73a6babd0683ab80&vjs=3","Remote","Part-time","MSIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"250b86ca97318ea910511348634ff5aa"
"4","network security engineer",2022-08-25,"Systems Engineer, Senior","Booz Allen Hamilton","Hill AFB, UT","* The Challenge:*  Are you looking for an opportunity to combine your technical skills with big picture thinking to make an impact in national security? You understand your customer’s environment and how to develop the right systems for their mission. Your ability to translate real-world needs into technical specifications, makes you an integral part of delivering a customer focused engineering solution.* *  As a systems engineer on our team, you have the chance to shape the United States Air Force by leading a critical engineering effort. Your customer will trust you to not only design and develop these systems, but also evolve them with advanced technology solutions. On our team, you’ll be able to broaden your skillset into areas like technology and modeling and simulation. Grow your skills by merging your engineering skills and analysis skills to create potential solutions and validate systems requirements. Join our team and create the future of our critical national security mission of nuclear deterrence.* *  Empower change with us.* *  You Have:*  Experience with digital engineering and model-based system engineering for threats systems*   Knowledge of operations, maintenance and sustainment of nuclear systems evaluating engineering data*   Ability to design and test digital models for threat system testing in various environments*   Secret clearance*   Bachelor's degree* *  Nice If You Have:*  Experience in nuclear operations, engineering, or maintenance systems*   Knowledge of nuclear operations and acquisitions and testing functions for threat systems*   Ability to design and develop digital models and evaluate threat system data in regard to operations and system requirements*   Top Secret clearance*   Master's degree*   PMP Certification* *  Clearance:*  Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.* *  Build Your Career:*  When you join Booz Allen, you’ll have the opportunity to connect with other professionals doing similar work across multiple markets. You’ll share best practices and work through challenges as you gain experience and mentoring to develop your career. In addition, you will have access to a wealth of training resources through our Engineering & Science University, an online learning portal where you can access more than 5000 tech courses, certifications and books. Build your technical skills through hands-on training on the latest tools and tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, on-site courses, vendor relationships, and a network of experts who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success.* *  We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law.*  #LI-AH1*","https://www.indeed.com/rc/clk?jk=b3a30a8f34939f71&fccid=4e041af1d0af1bc8&vjs=3","On-site","Part-time","MSCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8cdbcbc3ae32337a9c4d5219982bda67"
"5","cybersecurity manager",2022-08-25,"Lead, Third Party Security Oversight","Circle","Remote in Salt Lake City, UT 84111","* *  Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. Circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. Circle is also a principal developer of USD Coin (USDC), which has become the fastest growing dollar digital currency in the world. USDC has grown to over 53+ billion in circulation and supported over $1.9+ trillion in transactions in the past year. Circle's payments and treasury infrastructure services available through the Circle Account and APIs helps bridge the legacy financial system and digital currency and blockchain based finance. Circle's SeedInvest service brings internet-native fundraising and capital formation to startups and growth companies. Combined, Circle's suite of services helps companies to participate in a more open, global and inclusive financial system. *   What you'll be part of: *   With the mission ""To raise global economic prosperity through the frictionless exchange of financial value,"" Circle was founded on the belief that the internet, blockchains and digital currency will rewire the global economic system, creating a fundamentally more open, inclusive, efficient and integrated world economy. We envision a global economy where people and businesses everywhere can more freely connect and transact with each other with new technologies for digital money and internet-native finance. We believe such a system can raise prosperity for people and companies everywhere. Our mission is powered by the values we espouse and which we expect all Circlers to respect. We are Multistakeholder, serving the needs of our customers, our shareholders, our employees and families, our local communities and our world. Furthermore, we are also Mindful, Driven by Excellence, and High Integrity.* *  What you'll be responsible for: *  In this role, you will design a robust third party security assessment program. You will also lead security and business continuity risk assessments of vendors and third parties to identify and reduce risk across Circle's extended enterprise. You will provide security expertise to integrate vendors into Circle's enterprise, and analyze and resolve identified risks. You will also support other projects and tasks across the security and technology risk functions as required. *  What you'll work on: * Design and build Circle's enhanced vendor security assessment program. *  Proactively identify areas for program improvement. *  Triage Circle's third parties for inherent risk. *  Lead third party security and resiliency/BCP assessments to identify issues and residual risk. *  Collaborate with business partners to develop security requirements for third party integrations. *  Maintain an accurate list of third parties including vendors, partners, and public blockchains. *  Perform continuous (security) monitoring of Circle's third party portfolio. *  Mentor and coach junior team members. *  Collaborate with other risk functions to conduct public blockchain assessments for future variants of USDC. *  Support other security and technology risk projects such as critical process analysis, employee training, and mentoring junior team members.*  *  You will aspire to our four core values: * Multistakeholder - you have dedication and commitment to our customers, shareholders, employees and families and local communities. *  Mindful - you seek to be respectful, an active listener and to pay attention to detail. *  Driven by Excellence - you are driven by our mission and our passion for customer success which means you relentlessly pursue excellence, that you do not tolerate mediocrity and you work intensely to achieve your goals. *  High Integrity - you seek open and honest communication, and you hold yourself to very high moral and ethical standards. You reject manipulation, dishonesty and intolerance. * What you'll bring to Circle: * 7+ years of experience in cybersecurity, technology risk and compliance, or internal audit. *  Expertise communicating security risk to both technical and non technical teams. *  Ability to take a deep dive into technical controls to determine control effectiveness. *  Experience working in financial services or other highly regulated industry. *  Self-motivated; able to work independently and adapt to ambiguity. *  Creative problem-solver; can recommend and implement changes to improve pre-established processes and procedures. *  Knowledge of cryptocurrency fundamentals highly desirable. *  Certifications such as CISSP, CTPRP, CISA, CISM, or similar will receive favorable consideration but are not required. *  Proficiency in Google Suite, Slack and Apple MacOS preferred. *  Bachelor's degree or equivalent experience in computer science, computer engineering, cybersecurity or related field. * *   We are an equal opportunity employer and value diversity at Circle. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. *   #LI-Remote* *","https://www.indeed.com/rc/clk?jk=d9cb28244e591528&fccid=4ad12104a44e9eb6&vjs=3","Remote","Part-time","MSCM",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"b297955bd52a0a537469c04c2b5cff7b"
"6","business intelligence analyst",2022-08-25,"Data Analyst","Credit Corp","Draper, UT 84020","The Role and the Team*The Workflow team is a core business support function, who are responsible for the data interactions between our business and our clients. Across the team, this includes managing client relationships and vendors, supporting business systems used by internal users, the data, reporting, and ETL process, and large volume data and document exchange during our legal outsourcing processes.*Responsibilities for this role include: *Cleansing, importing and exporting of large and sensitive datasets using a dynamic SQL based process;* Managing all outgoing and incoming data relating to our external legal network;* Managing daily processes relating to data exchange and maintenance, including SFTP file retrieval and upload;* Developing new and ad hoc reporting for Clients and internal stakeholders using SSRS Report Builder;* Receiving and analysing feedback from users to improve systems, processes and reporting;* Enhancing and maintaining data management processes that support Workflow processes.*Skills and key requirements: *Intermediate SQL skills;* SAS, SSRS, PowerShell, or Python skills desired, but not essential;* Ability to thoroughly document business processes;* Exceptional attention to detail;* Able to work in a fast paced changing environment.*Working in a fairly flat management structure, you will get the opportunity to work with senior stakeholders and make an impact with the work you will be doing. If you’re looking for an opportunity to work for a Financial Services organisation which offers growth and development and has a great culture, then this is the role for you!*Even though technical skills are important in this role, we value an individual with the right attitude and behaviours who is happy to take on any challenge and open to feedback and coaching.*Job Type: Full-time*Salary: $50,000.00 - $60,000.00 per year*Benefits:*Dental insurance* Health insurance* Paid time off*Schedule:*8 hour shift*Supplemental pay types:*Bonus pay*Work Location: One location","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BZGGyrQu7wZ_OgB4qyP8Ard5eQ8rnJD_jOUo9_QGj10FIAf8oYf7jbJKJ-pRJ0V8rBfgPXGxqGorhSb9XEyqOTHXV7UD8F8e014wIe4Kux0CyZMZ_4p6Y8S5e2jvZPzJOegrNV0pG6kbKydtiWiqTJ5v2JszxxbhraqaB0-KT6IhJR8Kq_7OtjzyXNlLe7PVQBsW1Cwp_QiwxU8h2U04c_HGLQjRL46rkxnMLmr5iF-dRwNqxvB8IyNYvkxWAqFUGAVBQrebjBKN4avCVlRgTHAx3G2jFm5jfz1TajbXVVJGi0JWWug1FPRYR8-L8RQGs5sI4ZI2zlze1zzBWPR4hPj1vbglki9Z4KqQbMyehPG_wcZ4FqI8MEiW2KncIrSpoaovbp8lpNIeE0kmQptSJ9IXxJRdnoxjUvuRjRSAXhjKExxwbcThvtsW0ZDzIqODx26VQa6DkGBamBIu0dlFJX3PPWBK7_JT_pnjiqUKJLTIAc8MkdoJJXF5S83SrEv7ZROYdlz1mPdkr2ySaEizHg&xkcb=SoB--_M3aqUUV-W5cB0JbzkdCdPP&p=2&fvj=1&vjs=3","On-site","Full-time","MSIS",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"78a3424ea109a5a74a48a943c8a9fe09"
"7","data architect",2022-08-25,"SAP Aerospace & Defense Manager","Deloitte","Salt Lake City, UT 84111 (Downtown area)","* At Deloitte you'll have the opportunity to help clients get the most from their SAP investments-and help position businesses for the evolving digital economy. Ready to reimagine your career possibilities? Deloitte can show you what it takes to explore an entire universe of ideas, possibilities, and opportunities-and help make an impact that matters with SAP solutions.* Work you'll do*  Industry-leading clients. An award-winning culture. Top notch connections. Big opportunities. At Deloitte, you'll work with the best in the business to solve the toughest problems in business. From learning to leadership, this is your chance to take your career to the next level.*  Deliver complex projects in a fast-paced, team environment*   Lead and assist with pursuits and practice development initiatives*   Promote and participate in forums for sharing expertise, strengthening Deloitte's collective knowledge, and helping resolve our clients' challenges*   Collaborate on innovative solutions to bolster the future of the practice*   Develop your knowledge of and gain project experience in SAP's newest and future solutions*  The team*  Our SAP team focuses on design, implementation, and on-going operations and maintenance of SAP applications and technology. Professionals will have hands-on access and exposure to the latest technologies and thought leaders.*  We work with clients who want to improve their ability to react on digital world and enable scalability, remove performance barriers, enable innovation, and modernize core systems and reimagine their business with SAP digital solutions. Applications include SAP S/4HANA and Cloud (Hybris, Ariba, IBP, SuccessFactors, and SAP S/4HANA Public Cloud) across the following capabilities:*  Finance*   Supply Chain*   Customer and Sales Operations*   Technology (Mobility and User Experience, Cloud and Virtualization, Data Management and Analytics)*  Qualifications*  Required:*  8 years' relevant SAP consulting or industry experience*   Deep experience with at least one of the following SAP Supply Chain modules: MM, IM, PP, WM/EWM, QM, LE*   Experience implementing SAP Supply Chain modules with Aerospace & Defense clients*   5 years Aerospace & Defense industry experience*   Hands-on functional configuration and design experience*   Participation in all phases of at least 4 full-lifecycle SAP implementations*   Technical or functional lead on at least 2 full-lifecycle SAP implementations*   Demonstrated ability to lead discussions with Clients, SAP, SAP Partners, Developers, and Architects*   Bachelor's degree or equivalent*   Ability to travel up to 50%, based on the work you do and the clients and industries/sectors you serve.*   Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future*  Desired:*  Experience leading pre-sales, proposal, and RFPs*   Greenfield implementation experience*   Solid understanding of the SAP ASAP methodology framework*   Experience delivering projects using Agile Methodology*   Master's degree*  #sap23 *  #ep22*","https://www.indeed.com/rc/clk?jk=d998369a7412232b&fccid=9e215d88a6b33622&vjs=3","On-site","Part-time","MSIS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"97b9f1d1fba0f69b5471e8637b9c9810"
"8","security compliance analyst",2022-08-25,"Data Entry Analyst (Contract)","DigiCert","Remote in Lehi, UT 84043","* *  ABOUT DIGICERT *   We're a leading, global security authority that's disrupting our own category. Our encryption is trusted by the major ecommerce brands, the world's largest companies, the major cloud providers, entire country financial systems, entire internets of things and even down to little things like surgically embedded pacemakers. We help companies put trust—an abstract idea—to work. That's digital trust for the real world.* *  *  JOB DESCRIPTION*  *  DigiCert is looking for a Data Entry Analyst to support the development of key financial metrics. Specific areas of focus will focus on reviewing contract terms and updating data tables as needed. The Data Analyst will work within the Business Intelligence team. It will be a three month contract.*  *  RESPONSIBILITIES*  * Validate data quality by performing ongoing data audits and remediating data gaps that contribute to incorrect historical reporting *  Search Salesforce Account Records to understand contractual terms *  Reconcile contract values based on contractual terms against current data tables *  Manually key in data from contractual documents into specific data tables *  Review data for deficiencies or errors, correcting any incompatibilities, and checking output *  Document all changes and report updates on an ongoing basis to the Business Operations Leadership team*  *  REQUIRED QUALIFICATIONS*  * High School Diploma or GED *  Pursuing Finance, Accounting, or Business degree *  Proficient with MS Excel, MS Word, and other products within the Microsoft Suite *  Ability to collaborate effectively and work as part of a dynamic team amid evolving priorities *  Strong attention to detail & accuracy *  Verbal and Written communication skills *  Ability for critical thinking *  Having a systematic and logical approach to problem-solving*  *  PREFERRED QUALIFICATIONS & EXPERIENCE*  * Proven working experience in data entry *  Experience with Agile processes*  *  DigiCert is an Equal Opportunity employer and is committed to diversity in its workforce. In compliance with applicable federal and state laws, DigiCert prohibits discrimination on the basis of race or ethnicity, religion, colour, national origin, sex, age, sexual orientation, gender identity/expression, veteran's status, status as a qualified person with a disability, or genetic information. Individuals from historically underrepresented groups, such as minorities, women, qualified person with disabilities, and protected veterans are strongly encouraged to apply.*  *  #LI-KS1*","https://www.indeed.com/rc/clk?jk=77345c489615cecc&fccid=a9e65846c0a6c220&vjs=3","Remote","Part-time","MSCM",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"bfdff9af2bb1cec86020b94001740ad6"
"9","security compliance analyst",2022-08-25,"Data Entry Analyst (Contract)","DigiCert, Inc.","Lehi, UT 84043","at DigiCert *Lehi * ABOUT DIGICERT * We’re a leading, global security authority that’s disrupting our own category. Our encryption is trusted by the major ecommerce brands, the world’s largest companies, the major cloud providers, entire country financial systems, entire internets of things and even down to little things like surgically embedded pacemakers. We help companies put trust—an abstract idea—to work. That’s digital trust for the real world. * JOB DESCRIPTION * DigiCert is looking for a Data Entry Analyst to support the development of key financial metrics. Specific areas of focus will focus on reviewing contract terms and updating data tables as needed. The Data Analyst will work within the Business Intelligence team. It will be a three month contract. * RESPONSIBILITIES * Validate data quality by performing ongoing data audits and remediating data gaps that contribute to incorrect historical reporting *Search Salesforce Account Records to understand contractual terms *Reconcile contract values based on contractual terms against current data tables *Manually key in data from contractual documents into specific data tables *Review data for deficiencies or errors, correcting any incompatibilities, and checking output *Document all changes and report updates on an ongoing basis to the Business Operations Leadership team * REQUIRED QUALIFICATIONS * High School Diploma or GED *Pursuing Finance, Accounting, or Business degree *Proficient with MS Excel, MS Word, and other products within the Microsoft Suite *Ability to collaborate effectively and work as part of a dynamic team amid evolving priorities *Strong attention to detail & accuracy *Verbal and Written communication skills *Ability for critical thinking *Having a systematic and logical approach to problem-solving * PREFERRED QUALIFICATIONS & EXPERIENCE * Proven working experience in data entry *Experience with Agile processes * DigiCert is an Equal Opportunity employer and is committed to diversity in its workforce. In compliance with applicable federal and state laws, DigiCert prohibits discrimination on the basis of race or ethnicity, religion, colour, national origin, sex, age, sexual orientation, gender identity/expression, veteran’s status, status as a qualified person with a disability, or genetic information. Individuals from historically underrepresented groups, such as minorities, women, qualified person with disabilities, and protected veterans are strongly encouraged to apply. * #LI-KS1","https://www.indeed.com/rc/clk?jk=9b79b6897a212c9d&fccid=3021910c3311bda0&vjs=3","On-site","Part-time","MSCM",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"84f58b9d37c33b3bbd12fd01d988a845"
"10","business intelligence analyst",2022-08-25,"Business Performance Analyst (Workforce)","eBay","Hybrid remote in Salt Lake City, UT","* Looking for a company that inspires passion, courage and creativity, where you can be on the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If you’re interested in joining a purpose driven community that is dedicated to crafting an ambitious and inclusive work environment, join eBay – a company you can be proud to be with.* *  The Job:* * As a Business Performance Analyst on our Workforce Management team, you will report to the Director of Business Performance in the wider Performance Delivery / Workforce Management team.*  In this role you will provide critical reporting and insights with regard to the performance of our wider GCX operation. There are a range of business performance reporting already in production to be owned by you but also the opportunity to create new and more efficient insights and outputs to help us drive brilliant business and customer outcomes.*  You will interact and work closely with global GSD Teams, , Finance, Global Learning Organization, Global Work Force Management and other regional and global organizations.* *  Responsibilities:* * Provide ongoing reporting and insights into business performance, including a range of regular outputs and ad-hoc insight / Management Information requests*  Support and provide critical insights for the Director of Business Performance to enable the GCX leadership team to have insight led performance conversations*  Manage monthly Average Handle Times targeting processes*  Manage the weekly Weekly Business Rearview reporting rhythm*  Manage the monthly Weekly Business Rearview reporting rhythm*  Participate in cross functional projects and meetings* *  Requirements:* * Hybrid work model out of our Austin, TX or Salt Lake City, UT office*  Deep analytical mind set*  5 years plus experience in creating reports on various systems and providing insights and analytics to senior partners*  Familiarity and ability to efficiently use eBay’s reporting and data management systems*  Adapt and experienced at managing internal and external senior partners*  Some understanding of GCX / large operations working and reporting at a senior level*  Deep understanding of Call Centre Operations and common KPI’s*  Self-motivated individual with the ability to work independently with little guidance required*  Excellent communication, presentation and interpersonal skills*  Highly adaptable to adjust to changing business needs*  Advanced user with regard to MS Office applications particularly MS Excel and MS PowerPoint*  Bachelor degree or equivalent* *  Benefits: * * Benefits are an essential part of your total compensation for the work you do every day. Whether you’re single, in a growing family, or nearing retirement, eBay offers a variety of comprehensive and competitive benefit programs to meet your needs. Including maternal & paternal leave, paid sabbatical, and plans to help ensure your financial security today and in the years ahead because we know feeling financially secure during your working years and through retirement is important.* Here at eBay, we love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isn’t just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work. To learn about eBay’s Diversity & Inclusion click here: https://www.ebayinc.com/company/diversity-inclusion/* #LI-JG1* #LI-Hybrid* eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible. Jobs posted with location as ""Remote - United States (Excludes CO, HI, NM)"" excludes Colorado, Hawaii and New Mexico.**","https://www.indeed.com/rc/clk?jk=33f8ea8a9241d270&fccid=ccf155b8e5eb4bf8&vjs=3","Hybrid","Part-time","MSIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4a90b8041c8af8cd361a8da24a07fed8"
