"","Search","Date","Title","Company","Location","Description","Link","Work Model","Job_Type","Program","R","Python","SQL","Tableau","PowerBI","Azure","Excel","Talend","SAS","Spark","Qualtrics","Domo","Salesforce","SAP","Hadoop","Qlik","Looker","Zoho","Stata","Snowflake","ID"
"1","business intelligence analyst",2022-05-17,"Data Analyst & Purchasing Coordinator","A&K Railroad Materials Inc","Salt Lake City, UT 84104 (Glendale area)","A&K is a leading supplier of railroad track and related materials that seeks a driven individual to fill a Data Analyst & Purchasing Coordinator position for Salt Lake City, UT. office. This individual will be offered the opportunity to learn hands on, many aspects of the railroad track material business. The Data Analyst & Purchasing Coordinator at A&K is responsible for forecasting and purchasing new rail in addition to continued broad analytical support for the organization and the A&K executive team. This position will have the opportunity to suggest future initiatives for A&K to consider as well as:","https://www.indeed.com/company/A&K-Railroad-Materials-Inc/jobs/Data-Analyst-Purchasing-Coordinator-6c195822f941820b?fccid=e4faa47f435a9f83&vjs=3","On-site","Part-time","MSIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8cb49514618ddecd7a8e5a5ad255d230"
"2","data engineer",2022-05-17,"Senior Data Engineer","Altice USA","Salt Lake City, UT 84106 (Sugar House area)","* Overview*  We are Altice USA; a family of businesses that includes Optimum, Suddenlink, Optimum Mobile, Optimum Business, A4 advertising, Cheddar, and News12. Our common goal is connecting our customers to friends and family, shows they love, advertising that resonates and news that matters. We're building a workforce that thrives on collaboration, inclusion, and innovation. We hope connecting you to a potential role is just the beginning.*  Responsibilities*  We are seeking an experienced software engineer to help us build the next generation of a4's ad planning and campaign optimization platform. You'll be joining a lean team of passionate engineers and designers who care deeply about delivering amazing experiences to thousands of daily users. In this role, you'll have the opportunity to work across a variety of platforms and engage with cutting edge technology like .Net 5, GraphQL/Apollo, Kubernetes, Kafka, Mongo, Elasticsearch etc. We are looking for someone who is excited to learn, tackle new challenges, and make an incredible impact on our products.*  We are excited by what we're building, and we care about the quality of our code, as well as our user experience. We will expect you to balance high standards and thoughtful development with a pragmatic approach to getting things done. Our culture is fast-moving, and engineers who like to work on a wide variety of projects, try new technologies, and collaborate with cross-functional teams thrive with us. If this sounds like you, we'd love to talk.*  Qualifications* 3+ years of professional software engineering experience *  Create and maintain big data batch processing pipelines *  Design and optimize platforms of near real time processing on large data set *  Familiarity with building and maintain web applications *  Be comfortable to work with multiple unfamiliar technologies and programming languages *  Experience with modern software engineering practices (CI/CD, TDD, pair programming, A/B testing, etc). *  Excited to explore technologies, develop new skills, and share knowledge. *  Flexible, pragmatic, and oriented toward finding solutions. *  Communicative, collaborative, and open-minded, with a track record of working cross-functionally.*  Nice to Have's* Data warehouse *  Container development and deployment environment *  GraphQL *  Mongo, Elasticsearch and other no sql *  Airflow *  Good understanding of algorithms*  Altice USA is an Equal Opportunity Employer committed to recruiting, hiring and promoting qualified people of all backgrounds regardless of gender, race, color, creed, national origin, religion, age, marital status, pregnancy, physical or mental disability, sexual orientation, gender identity, military or veteran status, or any other basis protected by federal, state, or local law.*  Altice USA, Inc. collects personal information about its applicants for employment that may include personal identifiers, professional or employment related information, photos, education information and/or protected classifications under federal and state law. This information is collected for employment purposes, including identification, work authorization, FCRA-compliant background screening, human resource administration and compliance with federal, state and local law.*  Requirements of this position include demonstration of either full vaccination status against COVID-19 or company-provided weekly COVID-19 testing.*","https://www.indeed.com/rc/clk?jk=06a03b1dd380d55e&fccid=915628603ff911ad&vjs=3","On-site","Part-time","MSIS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eced51c2fd2e676c9afd3dbbce98270b"
"3","network security engineer",2022-05-17,"Systems Engineer III (VMWare) w/Top Secret Clearance","Arcetyp LLC","Salt Lake City, UT","* Arcetyp LLC is looking for a Systems Engineer III (VMWare) with a Top Secret Clearance located in Pocatello, Idaho for onsite work and shall be responsible for the design, deployment, testing, certification, patching, and addressing interoperability issues of all VMware components to include the hypervisor, vSphere, NSX, vRealize Suite, and Site Recovery Manager.* *  The position requirements and duties of the Systems Engineer III (VMware) include but are not limited to:* *  POSITION DUTIES: * Position requirements and duties of the Systems Engineer III (VMware) *  Design, implement, and provide ongoing support of the on-premises hybrid and cloud Infrastructure. *  Serve as the subject matter expert (SME) for all VMware environments. *  Create and maintain an on-premises cloud, software defined data center infrastructure for both bare-metal and virtual machines with the appropriate SAN, network, or local storage configurations, using both OEM and third-party tools that include virtual storage tools and services. *  Manually and automated provision/configure of all required resources for servers. *  Evaluate, improve, and maintain the information security throughout the virtualized infrastructure. *  Monitor and correct storage issues and create recovery processes and hardware for failures and performance bottlenecks. *  Install, configure, test, and maintain system management tools, infrastructure, and server plugins. *  Proactively ensure the highest levels of systems and infrastructure availability. *  Monitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixes. *  Maintain security, backup, and redundancy strategies. *  Write and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasks, such as automated provisioning storage with Infrastructure as a Service (IaaS). *  Participate in the design of information and operational support systems. *  Provide 4th level support. *  Liaise with vendors and other IT personnel for problem resolution. *  Ensure technical documentation exists for all systems and is kept up to date to include inventory and patch levels of all systems to include hostnames, property numbers, IP addresses, enclave, number of cores, number of processors, admin passwords, certificates, and service accounts on a monthly interval. *  Integrate systems with Windows and Linux as it applies to core service dependencies. Engineer and implement solutions for multi factor authentication with FBI standardized software and hardware. *  Document system configurations to include passwords, access controls, version number, and revision numbers, patch levels, and inventory to include hostnames, TCP/IP addresses, number of processors, and number of cores, memory, and license keys. *  Continually transition knowledge to the Government staff through training and assistance on how to use the technology using industry best practices. *  Provide real-time reporting of provisioned and non-provisioned and utilized resources to include performance metrics for availability, performance, and trends.*  *  REQUIRED EXPERIENCE/EDUCATION: *  Experience/Education requirements for the Systems Engineer III (VMware) This position shall be filled with individuals that have a minimum of VMware Data Center Virtualization and Cloud Management and Automation certification within the last five years, *  Bachelor’s degree preferred. *  Eight years of professional experience required. *  Top Secret Clearance required. *  Ability to work onsite in Pocatello, Idaho.* *  Internal code: Betis-*","https://www.indeed.com/rc/clk?jk=56cb3d6674664b95&fccid=e32e20fa4070456f&vjs=3","Hybrid","Part-time","MSCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bf9026432f8e21c9c6aa0afbfed4960c"
"4","business intelligence analyst",2022-05-17,"Business Analyst","BECHT","Salt Lake City, UT","* *  *   Becht is a 5 STAR Glassdoor company!*  *  *  *    Are you a Business Analyst with an insatiable curiosity and drive to collaborate on innovative solutions? Do you want to join a high-energy team working on several parallel projects where your effort is appreciated and visible? Do you have Energy industry experience you want to leverage to contribute to the design and development of pioneering software tools?*  *  *   What you'll do*    As a *   Business Analyst, you will work directly with clients, stakeholders, and the product owners to analyze, define and document cloud-based solution requirements. You will facilitate the definition of scope, contribute to, and validate design, and accelerate implementation decisions. Working with the development team you will participant in sprints. You will coordinate the QA and deployment teams to drive successful project execution and customer satisfaction.*   Responsibilities*  *   You will work with product owners to define and document requirements for software solutions, as well as write user stories, acceptance criteria, feature description decks, user guides, and process flows. You will collaborate with UX to design and develop wireframes and prototypes.*    You will conduct brainstorming sessions to gain insights into end user and customer needs.*    You will lead product feature prioritization discussions, curate product backlogs, and maintain the product roadmap document.*    You will have the opportunity to define the Business Analyst work process within the team.*    You will have the opportunity to expand your skillset to include project management on small to medium sized projects.*    You will learn business processes and workflows specific to the products under development leveraging your prior industry experiences.*    You will engage business owners and the organization’s strategic leadership to respond to requests for new projects and/or enhancements. You will collaborate to create a project business case for evaluation.*    You will validate Test Plans, Test Scripts and all other work and activities related to Quality Assurance of the Products.*    You will partner with the Product Owners, the implementation team, and clients to plan and execute User Acceptance Testing.*  *   Becht’s Software Solutions Team*    Software Solutions transforms Becht’s roster of experts with extensive industry knowledge into functional solutions. We design, develop, and implement internal and first-to-market external solutions. The team has a proven track record of accomplishing success with user-focused design approach and a nimble, engaged, and enthusiastic team. Becht’s reputation is built on a tradition of leveraging technical excellence to help our clients succeed.*   Required Qualifications*  *   Bachelor's degree in Computer Science, Business Administration or equivalent educational or professional experience and/or qualifications.*    5+ years of experience working in supporting multiple software projects in various IT roles.*    3+ years working in the Energy sector.*    3+ years of Business Analyst or System Analysis experience in an agile environment.*    In-depth knowledge of software development lifecycles including Agile product management, development, and testing.*    Exceptional written and verbal communications, organization, analytical, planning and leadership skills.*    Strong collaboration and facilitation skills.*    Experience executing on simultaneous projects with multi-functional teams*    A desire to work in a diverse, multi-cultural, high-energy, entrepreneurial environment.*  *  *    Who is Becht?*    Founded in 1964, Becht is a rapidly growing, multidiscipline consulting firm relied on by customers to relentlessly solve their most difficult and entrenched problems. We combine vast experience through our network of over 1200 technical experts with both engineering expertise and professional experience. Becht is a company founded on excellence, and as such we seek individuals who want to be part of our passionate and energetic team.*  *  *   Build Your Career with Becht A creative and innovative work environment isn’t all we have to offer! When you join Becht, you can expect*   A positive, collaborative workforce*    Access to further training and development*    Mentoring programs*    Company and family events such as baseball games, go-karting, and bowling*    Flexible work schedule with the potential to work from home occasionally*    Opportunities that provide stability as well as variety*    Workday events such as birthday lunches*    Community outreach programs such as Red Cross blood drives, Toys for Tots collections/volunteering, and United Way campaigns*    Room to grow your career*   We offer a competitive salary and benefits package, including medical, dental, vision, life and disability insurance, and 401(k) plans with company match.*   Becht is an Equal Opportunity Employer.* *","https://www.indeed.com/rc/clk?jk=0c33cc73b8d405b1&fccid=f5fa2001d22ea166&vjs=3","Remote","Part-time","MSIS",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0ea854b7b4dbf56dd08226dda829cd7d"
"5","cybersecurity manager",2022-05-17,"Compliance Manager","Canonical - Jobs","Remote in Salt Lake City, UT","* The Information Systems (IS) Compliance Manager leads our work to achieve relevant certifications such as SOC2 as well as compliance with regulatory frameworks such as GDPR. *  This role is to ensure that Canonical conducts its business processes in compliance with laws and regulations, international standards, and accepted business practice. This position is for an individual with the knowledge, drive and personal motivation to set up a strong governance framework in a fast-growing tech company, as well as help it achieve/maintain the necessary compliance certifications. It requires a background in internal audit or IT general controls and an appreciation of the challenges involved in driving security/compliance initiatives in a software engineering organization. *  This role can be home or office based. Periodic international travel for training and business meetings is required. *  Key responsibilities: * Shape and drive the company risk management and internal control framework *  Maintain and develop security policies, and verify compliance with those policies *  Work with our Legal team to respond to internal and external compliance issues *  Collaborate closely with leaders to understand their security, privacy and compliance requirements *  Make sure that customer data is safeguarded and used ethically and responsibly *  Organize and conduct Risk/Privacy/Compliance training and assessments *  Educate and inform employees about our practices and standards *  Manage internal and external audit and testing programs, reporting risks that need correction *  Prioritize compliance work *  Coordinate activities with external consultants and internal stakeholders for quality compliance (e.g. ISO 9001, 15504) *  Review and respond to security questionnaires and contract questions from customers * Required skills and experience: * Bachelor's degree (or equivalent) in Computer Science, Information Systems, or related field *  Familiarity with procurement compliance obligations, contractual security and privacy *  Experience defining and implementing appropriate methodologies for auditing, takedown processes and law enforcement *  Ability to be an ambassador for compliance policies and procedures within a highly technical software organization *  You can speak articulately about situational awareness, change management, and access control *  Demonstrated ability to explain risk assessments, actions needed, and cost implications *  General understanding of international privacy and compliance legislation, including the GDPR *  Experience working with legal, audit, and compliance staff *  Experience developing and maintaining policies, procedures, standards, and guidelines *  Experience driving risk-based decisions supporting business owner expectations and needs * Valuable experience: * Affinity with Open Source software with regards to compliance *  Knowledge and experience of applicable frameworks and regulatory requirements, e.g. ISO 2700x, PCI-DSS, NIST *  Technical or engineering background, including software development, scripting, networking, and cloud architecture * Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide reduce costs, improve efficiency and enhance security with Ubuntu. *  We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration. *  #LI-remote*","https://www.indeed.com/rc/clk?jk=9d3f8e1c715ddf57&fccid=d40b824c7b625849&vjs=3","Remote","Part-time","MSCM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fcf9e6a2185fe1443179d0daa6854e9c"
"6","cloud engineer",2022-05-17,"Senior Web Engineer","Crumbl Cookies","Orem, UT 84058 (Lakeview area)","* Senior Web Engineer (Front end)*  Join Crumbl Corporate in making the world a sweeter place!*  Crumbl Corporate is looking for a senior front-end engineer to join our world-class Technology department.*  Why Crumbl is a good choice?*  Technology is the future of the restaurant business and Crumbl knows it! Software engineering is the future of our business and we've loaded our stores with iPads, AppleTVs, sensors, and cameras.*   Opportunities to own large, important projects. We double in size every year which requires us to build fast.*   We operate at scale. Our backend services operate at thousands of requests per minute processing millions of orders each week.*   Our engineering team is awesome. We're a small team of experienced engineers who will motivate you to learn.*  Key job duties:*  Learn quickly.*   Design and develop new features and services in a NodeJS environment.*   Work with other engineers to improve and release new software products.*   Work with product and front-end teams to design new features.*   Coordinate deployment of services into production.*   Responsibility for services, performances, and stability.*  Requirements:*  Strong knowledge of react, and modern large-scale websites*   4+ years of programming experience.*   Care deeply about code quality, performance, and execution, but aren't dogmatic.*   Able to handle multiple projects and shifting requirements.*   You are excited about working in a small, talented team.*  Benefits & Perks:*  Competitive compensation*   Medical, dental, vision benefits*   15 days of PTO/year*   10 paid holidays*   4-day work week during summer months*   Paid parental leave*   Personal phone bill reimbursement up to $50/month*   Personal gym membership reimbursement up to $50/month*   Child care reimbursement of 25% of your monthly child care bill, up to $250/month*   Semi-remote - come to work when it's convenient*   Corporate DoorDash® DashPass membership*   Regular company and team activities*   401k with a competitive matching contribution plan (after employed for 1 year)*   Excellent opportunities for career growth*   Work in a hyper-growth company*   Enjoy cookies on us :)*  About Us:*  Crumbl was founded in 2017 in Logan, Utah by Jason McGowan & Sawyer Hemsley. In just five years, Crumbl has grown from a humble cookie shop to a booming franchise with over 360 locations in 40+ states. Crumbl is honored to be the second largest cookie company in the nation and fastest growing cookie company in the world! Our rotating menu offers new flavors every week while regularly bringing back crowd favorites and unique original recipes. We pride ourselves on being tech-focused, an agile workplace that values hard work, listening to our customers, and being unafraid of a challenge. Ultimately, our goal is to bring friends and family together over a box of the best cookies in the world!*  Crumbl is an equal opportunity employer. Crumbl provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, national origin, sexual orientation, gender identity or expression, age, disability, genetic information, marital status or veteran status.*  About Crumbl Cookies*  Crumbl began as a small cookie shop in the small town of Logan, Utah. It started with one big dream, two crazy cousins, and the perfect combination of flour, sugar, and chocolate chips. Crumbl was established in 2017 in Logan, Utah by Jason McGowan and Sawyer Hemsley. After thousands of dollars in wasted dough, recipes that did not live up to their expectations, and cookies that were just plain embarrassing to them today, Crumbl has over 400 locations across the United States and is growing everyday!*  Job types: Full-time, Part-time*  Work location: Flexible work from home options available*","https://www.indeed.com/rc/clk?jk=4979748b19cc0954&fccid=336f5eb91b2ce80c&vjs=3","Remote","Full-time","MSIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"a62c70fea96b3598f905ce8f617c0922"
"7","cloud engineer",2022-05-17,"Senior IOS Engineer","Crumbl Cookies","Orem, UT 84058 (Lakeview area)","* Senior IOS Engineer*  Join Crumbl Corporate in making the world a sweeter place!*  Crumbl Corporate is looking for a senior iOS engineer to join our world-class Technology department. Our stores are full of technology so we need an awesome developer to keep it in pristine shape.*  Key job duties:*  Design & develop new features in XCode.*   Use modern frameworks like SwiftUI and Apollo.*   Take performance and stability ownership for large products.*   Build and deliver new products.*  Requirements:*  2 years of iOS development. Owning development of an app start-to-finish is a huge plus.*   Care deeply about code quality, performance, and execution, but aren’t dogmatic.*   You are excited about working at a startup in a small, talented team.*   You don’t mind helping out on other areas of the stack if necessary.*   Love technology*  Benefits & Perks:*  Competitive compensation*   Medical, dental, vision benefits*   15 days of PTO/year*   10 paid holidays*   4-day work week during summer months*   Paid parental leave*   Personal phone bill reimbursement up to $50/month*   Personal gym membership reimbursement up to $50/month*   Child care reimbursement of 25% of your monthly child care bill, up to $250/month*   Semi-remote - come to work when it's convenient*   Corporate DoorDash® DashPass membership*   Regular company and team activities*   401k with a competitive matching contribution plan (after employed for 1 year)*   Excellent opportunities for career growth*   Work in a hyper-growth company*   Enjoy cookies on us :)*  About Us:*  Crumbl was founded in 2017 in Logan, Utah by Jason McGowan & Sawyer Hemsley. In just five years, Crumbl has grown from a humble cookie shop to a booming franchise with over 360 locations in 40+ states. Crumbl is honored to be the second largest cookie company in the nation and fastest growing cookie company in the world! Our rotating menu offers new flavors every week while regularly bringing back crowd favorites and unique original recipes. We pride ourselves on being tech-focused, an agile workplace that values hard work, listening to our customers, and being unafraid of a challenge. Ultimately, our goal is to bring friends and family together over a box of the best cookies in the world!*  Crumbl is an equal opportunity employer. Crumbl provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, national origin, sexual orientation, gender identity or expression, age, disability, genetic information, marital status or veteran status.*  About Crumbl Cookies*  Crumbl began as a small cookie shop in the small town of Logan, Utah. It started with one big dream, two crazy cousins, and the perfect combination of flour, sugar, and chocolate chips. Crumbl was established in 2017 in Logan, Utah by Jason McGowan and Sawyer Hemsley. After thousands of dollars in wasted dough, recipes that did not live up to their expectations, and cookies that were just plain embarrassing to them today, Crumbl has over 400 locations across the United States and is growing everyday!*  Job types: Full-time, Part-time*  Work location: Flexible work from home options available*","https://www.indeed.com/rc/clk?jk=278d9d3d1467a7ee&fccid=336f5eb91b2ce80c&vjs=3","Remote","Full-time","MSIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2ac1b827504004d73783635d61de9b7d"
"8","data architect",2022-05-17,"Data Analyst","Enveyo","Remote in Provo, UT 84601","* *  *   *    *     *      *       *        As a remote work organization, Enveyo hires top talent from around the nation to create a team of talented individuals who help leading organizations transform their supply chain operations. *       *      *     *    *   *  * * * *  *   *    *     *      Basic Function*       *      *       *        We’re seeking a Data Analyst to join our industry-leading team. This individual will work with all functions and individuals in the organization and interact directly with the customers. The Data Analyst will spend 70% of their time focused on external customers and 30% on internal efforts. The Data Analyst will conduct full lifecycle analysis for use within the organization and for external customers. Utilizing the organization’s proprietary system, the Data Analyst will provide reports to customers, assist customers in analyzing data, and using the data to inform business decisions. Additionally, the analysis and models produced by the Data Analyst will be used to inform decisions to improve our software products, inform internal teams, and deepen and enhance relationships with customers. The Data Analyst will work closely with the Customer Management Team to support customer acquisition and retention. *       *      *     *    *   *  * * * *  *   *    *     *      Key Responsibilities*      *       *       Process and analyze data from the proprietary database; identify, analyze, and interpret trends or patterns in complex data sets to inform data driven business decisions *        Interpret data, analyze results using a variety of methods and provide ongoing and ad-hoc reports *        Prepare reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data *        Filter and “clean” data from unstructured data sources (flat files, databases, etc.) leveraging different languages such as R, Python, etc. as well as querying the database directly using MySQL *        Collaborate with software engineers and organizational leaders to identify opportunities for process improvements and recommend system modifications *        Provide quality assurance of imported data *        Support and lead initiatives for data integrity and normalization *        Manage and design the reporting environment, including data sources, security, and metadata *        Create appropriate documentation that allows stakeholders to understand the data analysis process and duplicate or replicate the analysis if necessary *        Work directly with customers to generate reports, analyze data and assist customers in understanding the data to make business decisions *        Implement data governance strategies and architect data solutions with customers *        Troubleshooting report performance, report discrepancies. *        Training end users on new reports and dashboards *       *     *    *   *  * * * *  *   *    *     *      Candidate Attributes & Skills*      *       *       Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy – able to tell story with data and answer “so what” *        Adept at queries, report writing and presenting findings *        Strong customer service skills; able to present information that is actionable and can be understood by a wide variety of audiences *        High-level written and verbal communication skills *        Ability to think critically and solve customer problems *        High attention to detail and maniacally focused on perfection and ensuring that data used to generate reports for use as business tools is 100% correct *        Demonstrated experience in methodologies and processes for managing large scale databases/data sets *       *     *    *   *  * * * *  *   *    *     *      Experience & Education*      *       *       5 years of experience as a data analyst in a remote work environment preferably in the parcel/shipping industry and/or supply chain *        Experience with reporting software and databases (MySQL, Excel, MS Access, etc.) *        Programming experience with a language such as Python, R, ETL frameworks is a bonus *        Technical expertise regarding data models, querying databases, big data management, data mining and segmentation techniques *        BS in Mathematics, Economics, Computer Science, or Statistics, Data sciences or other degrees focused on data *       *     *    *   *  * * * *  *   *    *     *      What Enveyo Offers*      *       *       Competitive salary *        Flexible schedule + 100% remote work opportunity *        Bonus potential, profit sharing, 401k *        Every team member enjoys one week off in July and one week off in December (in addition to vacation) *        Excellent health benefits*       *     *    *   *  * *","https://www.indeed.com/rc/clk?jk=2dcd153ceff28eb5&fccid=894ad23d29edd7df&vjs=3","Remote","Part-time","MSIS",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"a5ad81f59098e745a3a58456e33fe1f3"
"9","data integration engineer",2022-05-17,"Software Engineer - Java","Enveyo","Remote in Provo, UT 84601","* *  *   *    *     *      *       *        As a remote work organization, Enveyo hires top talent from around the nation to create a team of talented individuals who help leading organizations transform their supply chain operations. *       *      *     *    *   *  * * * *  *   *    *     *      Basic Function*       *      *       *        As a member of this small, fast-paced, agile software development team focused on achieving results, the Software Engineers will work directly with the CTO/Co-Founder of the organization and receive daily direction from the team lead. This team is focused on developing and improving high quality, enterprise solutions for our clients. Individuals in this role will work on a suite of products and will spend their time as follows – product infrastructure development (20%), new feature development (45%), and software issue resolution (35%). Individuals in this role will have the unique opportunity to drive the direction of the product for the organization. As a remote employee in an organization adept at managing a remote workforce, individuals in these roles will have full responsibility for managing their time and work with a high degree of flexibility to enhance and improve the product. *       *      *     *    *   *  * * * *  *   *    *     *      Key Responsibilities*      *       *       Develop and deploy high-volume distributed and scalable applications in Java while maintaining the project schedule *        Conceptualize, design, develop, debug, and provide effort estimation and risk analysis of a project/feature/service *        Participate in the design, provide input into architectural decisions, and standardization efforts influencing product or service *        Work closely with Product Management to define requirements *        Take end-to-end ownership of the development of products and services service, while coordinate with internal and external teams/stakeholders as appropriate *        Translate high level requirements to actionable tasks/deliverables *        Work multi-functionally with various teams including site reliability engineers, project managers, product managers *       *     *    *   *  * * * *  *   *    *     *      Candidate Attributes & Skills*       *      *       *        The successful candidate will be a results-oriented, high-performing technologist with a strong desire to deepen their own expertise and be part of a fast growing, software product company. *       *      *      *      *       Experience working with agile development methods *        Working knowledge of distributed computing principles *        Working knowledge of software engineering standard methodologies (e.g., code reviews, unit testing, integration testing, design documentation) *        Willing to work fast without compromising on the quality of the work; comfortable taking risks, making mistakes, and learning from mistakes *        Strong ability to “dig-in,” investigate, research, and read code to solve problems, develop features and enhancements and comfortable asking questions and working with others to solve issues *       *     *    *   *  * * * *  *   *    *     *      Experience & Education*      *       *       A minimum of 5 years of web application development work in a remote work environment preferably in the parcel/shipping industry and/or supply chain *        Preference given to those with experience working with big data and development principles around data sciences or front-end web-development experience *        Practical experience writing in Java, Grails, Spring Boot, JavaScript, jQuery, JavaScript, front end JavaScript frameworks (Angular, React, Vue, etc.) *        Strong Experience in Web Development (Full Stack Development) *        Bachelor’s degree in computer science or related discipline required; Master’s preferred *        Must be legally authorized to work in the US *       *     *    *   *  * * * *  *   *    *     *      What Enveyo Offers*      *       *       Competitive salary *        Flexible schedule + 100% remote work opportunity *        Bonus potential, profit sharing, 401k *        Every team member enjoys one week off in July and one week off in December (in addition to vacation) *        Excellent health benefits*       *     *    *   *  * *","https://www.indeed.com/rc/clk?jk=9dcfb98314bbd6a0&fccid=894ad23d29edd7df&vjs=3","Remote","Part-time","MSIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3b6d9d808503931097fe4069cf72984b"
"10","data integration engineer",2022-05-17,"Software & Development Operations Engineer","Enveyo","Remote in Provo, UT 84601","* *  *   *    *     *      *       *        As a remote work organization, Enveyo hires top talent from around the nation to create a team of talented individuals who help leading organizations transform their supply chain operations. *       *      *     *    *   *  * * * *  *   *    *     *      Basic Function*       *      *       *        As a member of this small, fast-paced, agile software development team focused on achieving results, the Software & Development Operations Engineer will work directly with the CTO/Co-Founder of the organization and receive daily direction from the team lead. This team is focused on developing and improving high quality, enterprise solutions for our clients. Individuals in this role will spend about 40% of their time on the Development Operations work focused on deployment of infrastructure stacks, monitoring and metrics tooling, standards and processes, and utilize cloud resources. 60% of this individual’s time will be spent as a Software Engineer focused on product infrastructure development, new feature development, and software issue resolution. Individuals in this role will have the unique opportunity to drive the direction of the product for the organization. As a remote employee in an organization adept at managing a remote workforce, individuals in these roles will have full responsibility for managing their time and work with a high degree of flexibility to enhance and improve the product. *       *      *     *    *   *  * * * *  *   *    *     *      Key Responsibilities*      *       *       Enable infrastructure to achieve a high level of reliability *        Build tools that streamline development and deployment of infrastructure stacks *        Build and scale out our monitoring and metrics tooling, standards, and processes, to facilitate data-informed decision making *        Optimize the utilization of cloud resources to balance performance and cost *        Perform deep dives on complex technical issues across networks, ranging from automated tooling to hardware failures and network issues *        Anticipate potential operational risks and develop strategies to mitigate/minimize *        Keeping our services running and recovering quickly when failure occurs *        Automating work including infrastructure needs, testing, failover solutions, failure mitigation *        Ability to execute network assessments and report results *        Review and development of performance and capacity plans (operational capacity and load requirements) *        Experience with application disaster recovery, migration, roll-back plans, expansion, routine deployments, and system upgrade *        Knowledge of network switches, firewalls, and routers *        Expert in system integration, ongoing data validation processes, quality assurance, delivery, operations, and sustainability of technical solutions *        Develop and deploy high-volume distributed and scalable applications in Java while maintaining the project schedule *        Conceptualize, design, develop, debug, and provide effort estimation and risk analysis of a project/feature/service *        Participate in the design, provide input into architectural decisions, and standardization efforts influencing product or service *        Work closely with Product Management to define Requirements *        Take end-to-end ownership of the development of products and services service, while coordinate with internal and external teams/stakeholders as appropriate *        Translate high-level requirements to actionable tasks/deliverables *        Work multi-functionally with various teams including site reliability engineers, project managers, and product managers *       *     *    *   *  * * * *  *   *    *     *      Candidate Attributes & Skills*       *      *       *        The successful candidate will be a results-oriented, high-performing technologist with a strong desire to deepen their own expertise and be part of a fast growing, software product company. *       *      *      *      *       Experience working with agile development methods *        Working knowledge of distributed computing principles *        Working knowledge of software engineering standard methodologies (e.g., code reviews, unit testing, integration testing, design documentation) *        Willing to work fast without compromising on the quality of the work; comfortable taking risks, making mistakes and learning from mistakes *        Strong ability to “dig-in,” investigate, research, and read code to solve problems, develop features and enhancements and comfortable asking questions and working with others to solve issues *        Experience in building and managing complex and highly scalable/available systems *        Experienced with configuration and infrastructure as code, heavy automation first mentality *        Experience in deploying, operating, and managing customer-facing services in cloud platforms *        Knowledge of infrastructure monitoring, from service availability and health, to capacity usage and cost *       *     *    *   *  * * * *  *   *    *     *      Experience & Education*      *       *       A minimum of 2-3 years of web application development and 2-3 years of development operations experience working in a remote work environment preferably in the parcel/shipping industry and/or supply chain *        Experience deploying in the AWS ecosystem of offerings (EC2, RDS, ECS, IAM, etc.) *        Preference given to those with experience working with big data and development principles around data sciences *        Practical experience writing in Java, Gradle, Spring Boot, JavaScript, jQuery, JavaScript, front end JavaScript frameworks (Angular, React, vue, etc.) *        Strong Experience in Web Development (Full Stack Development) *        Bachelor’s degree in computer science or related discipline required; masters preferred *        Must be legally authorized to work in the US. *       *     *    *   *  * * * *  *   *    *     *      What Enveyo Offers*      *       *       Competitive salary *        Flexible schedule + 100% remote work opportunity *        Bonus potential, profit sharing, 401k *        Every team member enjoys one week off in July and one week off in December (in addition to vacation) *        Excellent health benefits*       *     *    *   *  * *","https://www.indeed.com/rc/clk?jk=df86453f8c426cc9&fccid=894ad23d29edd7df&vjs=3","Remote","Part-time","MSIS",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"5809555bd38a2ddf8d1d61b07588c05e"
